Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1452,51594,81,407.0,11600.6,27,118,1
1452,35144,45,404.2,8844.8,4,92,0
2108,73487,173,314.6,16985.2,39,145,0
2108,81121,142,415.2,19005.6,50,208,1
2616,90282,88,566.2,22639.4,42,289,1
2616,82736,155,482.8,20238.6,37,314,0
1329,51781,67,286.4,11752.6,27,103,1
1329,33361,58,396.8,8814.4,8,84,0
1300,37614,104,405.0,8393.8,14,67,0
1300,49915,50,277.2,9735.2,32,108,1
1537,52972,123,325.6,11698.8,34,141,1
1537,49250,146,369.8,11168.2,24,119,0
1627,58108,81,421.0,13076.2,30,150,1
1627,44818,119,462.0,10845.6,13,136,0
1242,45220,77,469.2,9261.0,29,83,1
1242,34582,40,464.8,7377.0,15,95,0
2230,82129,150,371.6,17819.4,46,269,1
2230,76380,121,239.8,17439.2,46,209,0
1275,45213,67,331.4,9995.6,30,105,1
1275,37509,80,410.8,8276.4,15,97,0
1897,71389,98,465.8,16668.2,35,251,1
1897,58220,139,334.0,13704.8,23,137,0
1992,65683,54,376.0,15834.8,34,158,0
1992,76183,60,336.2,17452.8,39,187,1
1980,57569,51,154.2,13910.4,23,200,0
1980,67405,118,277.0,16548.4,31,211,1
1700,64807,108,277.4,14018.4,43,177,1
1700,51184,119,291.8,11216.2,26,144,0
1707,62284,78,212.8,13921.2,35,116,1
1707,60542,134,372.0,13343.6,32,140,0
1127,27169,72,233.4,6490.4,7,52,0
1127,45560,61,427.8,8581.8,35,79,1
1861,64369,133,273.8,13569.4,35,261,0
1861,68974,97,316.2,15107.0,37,149,1
1569,43959,99,465.2,9917.0,14,127,0
1569,52440,90,640.2,11244.6,24,179,1
1605,51726,73,435.6,11221.6,23,151,0
1605,57985,107,314.2,12888.4,31,122,1
1944,58672,172,394.2,14298.8,31,215,0
1944,69400,150,193.8,16691.2,31,170,1
1417,52118,86,644.4,12093.2,26,122,1
1417,41636,39,245.6,9455.4,13,98,0
2164,62735,142,298.8,14984.2,18,234,0
2164,69556,135,270.0,15435.8,39,243,1
1139,45713,201,532.6,9219.8,33,83,1
1139,27880,69,416.0,6160.2,7,73,0
1871,72135,74,227.2,16441.8,42,181,1
1871,58670,96,361.0,13160.6,22,140,0
1774,54562,110,309.4,12451.8,22,163,0
1774,64488,106,409.6,14798.2,45,147,1
2191,78023,159,256.0,19101.2,41,241,1
2191,72213,185,240.6,18215.6,34,204,0
2306,68555,161,143.4,16652.0,26,242,0
2306,74970,92,288.2,18323.0,30,343,1
2105,73707,137,142.2,17471.8,30,266,1
2105,63678,100,374.6,15594.6,23,191,0
1583,58075,87,373.2,13640.8,39,146,1
1583,48434,94,328.6,11293.2,20,85,0
1571,49202,155,273.6,10369.4,25,141,0
1571,61381,126,242.8,12461.2,47,127,1
1703,60351,117,294.4,13097.6,34,178,1
1703,51834,81,431.0,11994.0,16,169,0
912,30538,30,296.0,6740.8,16,64,1
912,22233,11,295.6,5258.4,2,37,0
1735,63913,78,319.0,13467.6,42,145,1
1735,54667,166,363.8,12006.8,34,112,0
2186,72596,152,454.4,17715.0,30,213,1
2186,64270,165,449.2,16531.2,23,182,0
1592,46566,92,224.6,10854.6,17,149,0
1592,59443,85,415.2,13941.8,33,143,1
1584,48964,105,182.0,10794.8,24,139,0
1584,60368,114,175.4,13481.6,39,150,1
1719,63342,216,362.4,13825.4,48,179,1
1719,52268,96,255.0,10790.8,20,159,0
1791,54834,106,357.0,13491.8,32,114,0
1791,65927,83,424.6,14818.8,42,126,1
1749,66073,55,487.4,15751.8,52,152,1
1749,60642,72,362.4,14273.6,26,105,0
1651,56007,71,263.8,13219.8,29,115,1
1651,51945,54,336.2,12179.2,28,113,0
1846,57675,125,316.8,12977.4,21,187,0
1846,67150,130,282.6,15749.6,39,216,1
1249,44531,68,298.8,9274.8,26,118,1
1249,34313,75,534.8,7434.4,12,69,0
1847,59549,67,422.2,13802.4,36,193,0
