Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
1111,27548,53,369.4,6672.4,4,60,0
1659,50054,65,534.4,11729.2,21,181,0
1659,59089,125,291.4,12985.4,31,160,1
1271,35640,59,289.8,8464.4,14,86,0
1271,49434,73,342.4,9947.0,26,94,1
1947,61021,105,396.4,13569.4,19,214,0
1947,60670,85,360.6,15224.2,27,183,1
991,28894,62,171.8,6046.2,9,61,0
991,33239,55,272.8,7390.0,18,61,1
1334,47484,101,384.8,10418.0,24,89,1
1334,44732,57,404.6,10234.4,21,96,0
1120,29182,41,185.0,7160.8,6,48,0
1120,40480,39,409.2,8681.6,22,74,1
1681,50542,85,537.0,11684.4,26,136,0
1681,62908,109,368.0,13800.8,38,171,1
1607,62226,64,135.6,13449.6,38,139,1
1607,46464,89,378.4,10519.2,18,124,0
1422,54062,92,520.6,12401.2,31,109,1
1422,46244,39,262.8,10859.8,24,119,0
1578,55664,75,574.0,13689.8,28,151,1
1578,42396,108,135.2,10586.2,11,122,0
1864,65242,124,185.6,14969.6,41,145,0
1864,75072,133,381.0,17253.2,58,170,1
1157,35432,67,395.2,7818.2,13,66,0
1157,44092,49,426.4,8903.6,26,81,1
1704,61882,118,280.4,13753.4,38,149,1
1704,62065,93,311.0,13010.2,33,174,0
1694,57593,127,331.2,12493.8,25,166,0
1694,63305,140,278.2,13905.8,36,209,1
1494,42301,80,244.0,10002.2,10,90,0
1494,55100,76,304.0,12291.8,31,124,1
1922,69786,140,216.8,15587.2,33,188,1
1922,58234,168,316.8,12893.4,24,172,0
1585,55973,123,349.2,12123.6,34,129,1
1585,47583,140,135.8,10950.4,24,105,0
1896,65990,128,643.8,16430.0,39,155,1
1896,56453,149,312.0,13275.0,22,171,0
930,24596,25,415.0,5263.2,7,70,0
930,33864,45,450.6,7140.2,23,60,1
1708,59272,87,458.4,14029.0,26,143,1
1708,49696,83,353.8,11899.6,20,151,0
1487,39222,42,541.4,10078.0,12,107,0
1487,55476,82,300.6,13061.0,31,134,1
1354,53350,64,404.4,11905.0,37,106,1
1354,42258,98,426.2,9946.8,20,97,0
935,32616,24,297.4,6848.6,14,77,1
935,22779,52,293.2,5452.8,4,61,0
1696,51561,53,232.4,12080.6,17,133,0
1696,56670,82,409.4,13536.6,23,196,1
2346,79213,189,355.6,17274.0,44,197,0
2346,85904,194,289.4,20343.8,59,188,1
2056,66641,88,349.8,16421.6,30,166,0
2056,72401,57,217.4,16356.6,39,231,1
1244,42389,71,348.8,8531.8,23,95,0
1244,45032,84,388.0,9354.0,32,120,1
