Game Duration,Total Team Gold Earned,Total Team Crowd Control Time,Average Team Account Level,Average Team Champion Mastery,Total Team Kills,Total Team Vision Score,Win
2042,66802,81,429.2,16413.6,30,192,0
1467,49692,90,359.0,11812.6,25,104,1
1467,39166,64,152.6,9204.0,10,73,0
1933,74134,91,283.6,15828.4,44,172,0
1933,68716,107,288.4,15076.4,37,194,1
1385,41884,70,289.8,8810.6,16,82,0
1385,50777,61,444.2,10794.0,32,119,1
1352,43456,117,220.4,9146.6,23,122,0
1352,48172,87,233.0,9781.0,25,117,1
1445,54019,55,330.0,11855.8,31,149,1
1445,42055,94,360.6,9094.0,18,90,0
1851,55945,41,282.4,12728.6,18,198,0
1851,60507,47,250.8,14351.8,25,200,1
1379,43913,57,140.2,9024.2,21,102,0
1379,52513,59,294.8,11757.4,35,99,1
2004,71820,124,425.8,16828.8,46,207,1
2004,67335,65,264.4,16702.8,35,170,0
1575,54421,54,150.2,12176.8,28,127,1
1575,46897,63,344.4,10658.0,19,144,0
812,17081,34,252.8,4228.8,0,33,0
812,28898,23,235.4,5582.6,14,46,1
1592,46566,92,224.6,10854.6,17,149,0
1592,59443,85,415.2,13941.8,33,143,1
1706,53582,153,229.0,11644.6,26,131,0
1706,64647,83,409.0,14758.2,41,117,1
1281,45626,104,314.6,10308.6,30,107,1
1281,36765,88,324.6,8343.2,12,61,0
1719,61039,79,245.8,14634.8,43,156,1
1719,49046,98,217.0,11521.8,16,163,0
2182,73764,104,157.0,17265.8,49,229,0
2182,79465,133,288.8,19317.0,53,185,1
1676,62336,77,131.2,13512.4,36,208,1
1676,44828,75,263.4,11153.8,15,157,0
1464,61393,53,124.4,12312.8,41,118,1
1464,45103,57,269.6,10765.8,21,94,0
619,19511,13,172.0,3675.6,9,29,1
619,14538,25,333.6,2698.2,5,15,0
1787,58080,65,353.2,13378.2,27,153,0
1787,63219,81,426.4,15406.4,37,162,1
922,32889,49,221.6,6125.6,15,63,1
922,22428,21,123.2,4926.6,6,51,0
2008,67425,94,482.4,15243.8,35,150,0
2008,72441,132,167.8,15013.4,43,209,1
1512,43778,49,271.2,9711.8,12,100,0
1512,58154,70,221.0,12644.8,32,152,1
2049,69485,115,246.0,16139.0,43,252,1
2049,62085,54,408.8,13688.4,21,223,0
1945,72580,114,295.4,16194.4,43,188,1
1945,66877,154,326.8,14910.2,37,176,0
1746,63800,122,294.4,14986.2,47,171,1
1746,53162,131,418.2,11672.0,26,153,0
1532,40180,79,491.6,10151.4,12,120,0
1532,53995,57,438.0,12368.6,23,135,1
1892,69934,128,256.8,15867.8,46,245,1
1892,62581,108,407.4,13268.0,29,139,0
1836,66716,72,461.2,15495.6,32,208,1
1836,56810,143,296.2,13649.2,27,141,0
1613,44988,59,326.0,11116.2,16,88,0
1613,60982,68,384.8,13261.0,28,176,1
976,37078,39,270.4,7507.2,24,67,1
976,26369,67,406.2,5941.0,11,51,0
1631,57757,92,242.0,12829.4,31,141,1
1631,49357,74,423.0,11904.8,17,131,0
1609,49963,52,337.4,11293.0,21,98,0
1609,62239,89,300.4,14099.8,44,183,1
1116,26068,39,311.0,5858.2,6,43,0
1116,41992,62,256.8,8998.4,27,75,1
1668,58323,106,374.6,13506.0,38,112,1
1668,52390,116,338.8,11881.4,24,136,0
1317,51876,61,465.2,11277.8,36,74,1
1317,40095,54,421.6,9284.4,14,71,0
1608,43191,43,365.8,10487.2,15,148,0
1608,58671,59,465.0,13454.8,34,109,1
1870,66428,89,348.8,15389.2,50,142,1
1870,61440,141,413.4,13912.6,38,165,0
2044,69432,94,276.6,15793.2,44,206,1
2044,66136,140,319.0,14728.4,29,167,0
1328,36739,73,319.6,8490.8,11,79,0
1328,49571,47,387.8,10933.8,32,93,1
1207,34164,78,342.6,7921.8,22,81,0
1207,42155,68,424.6,8881.4,26,74,1
1322,53631,57,348.2,10823.4,37,84,1
1322,39095,101,517.6,9334.6,19,80,0
1719,53755,109,372.4,12105.0,24,196,0
1719,62467,80,485.6,14854.2,37,149,1
1702,55845,92,223.6,13024.2,29,120,0
1702,65983,76,302.4,15035.8,44,131,1
1559,51245,43,480.4,9874.0,23,133,0
1559,57767,106,330.4,12935.2,42,120,1
1676,54002,90,449.4,12268.2,22,109,0
1676,64562,96,303.8,14634.6,40,138,1
2149,77018,103,355.8,18704.0,50,152,0
2149,80111,113,511.8,18378.6,52,185,1
1833,59128,132,389.6,12591.4,31,135,0
1833,64567,117,287.0,14927.2,34,177,1
1631,58415,68,292.8,14406.8,31,159,1
1631,43907,70,298.6,11411.6,18,109,0
1361,35432,127,473.4,8564.6,9,87,0
1361,43035,65,342.4,10741.8,24,109,1
1676,61325,239,382.8,13379.4,32,159,1
1676,47918,137,288.4,10955.0,21,149,0
1287,35771,62,134.0,6738.0,16,60,0
1287,45563,47,218.2,8985.0,23,102,1
1755,57083,97,171.6,13028.2,29,149,0
1755,61784,116,299.6,14477.4,37,205,1
1571,47909,62,339.6,11677.0,23,136,0
1571,56995,71,255.4,12840.2,29,140,1
932,23067,39,294.4,5130.8,7,45,0
932,39322,61,417.4,7298.8,27,54,1
1351,49460,75,360.0,10967.4,32,142,1
1351,37968,70,339.4,9085.8,14,102,0
1506,44523,69,236.8,10205.4,14,87,0
1506,50437,80,361.4,12112.0,20,138,1
1748,55601,111,480.0,12617.2,24,194,1
1748,49330,108,305.4,11288.6,18,145,0
1728,55625,61,406.6,12826.6,17,155,1
1728,52986,87,314.6,12490.8,21,169,0
2323,88460,151,485.8,19728.6,54,218,1
2323,85155,117,243.6,19372.4,50,289,0
1621,61667,113,561.0,13984.8,42,147,1
1621,50399,132,149.8,10973.0,21,123,0
1896,58806,178,295.8,14594.6,28,211,1
1896,60205,139,241.4,13770.4,23,161,0
1726,54107,83,276.8,13093.4,24,150,0
1726,62824,94,199.2,13821.2,26,181,1
1741,48657,69,416.4,12240.4,24,117,0
1741,60613,278,372.8,13890.2,29,179,1
919,24919,22,188.6,5391.8,5,40,0
919,31557,29,300.0,6684.8,18,64,1
1697,58851,103,272.4,13027.2,29,139,1
1697,55628,62,474.6,12635.8,24,136,0
1476,59075,120,421.8,13108.6,43,159,1
1476,48421,75,522.4,11169.8,25,83,0
1094,30789,51,453.6,6718.4,9,51,0
1094,36233,53,258.6,8201.6,18,75,1
2579,83370,174,282.6,20329.8,44,286,0
2579,85217,113,471.6,20487.0,43,322,1
1853,54595,121,415.6,13426.0,22,148,0
1853,68235,87,371.0,16244.4,38,165,1
1741,64963,163,284.2,14985.6,42,154,1
1741,55214,93,340.6,11798.4,24,149,0
2346,83538,59,412.4,19401.2,51,250,0
2346,87327,177,380.0,20551.2,54,223,1
1312,47111,67,411.6,10873.4,26,101,1
1312,37923,76,201.8,9122.6,10,82,0
1969,75108,82,163.4,17863.6,36,181,1
1969,59275,102,435.6,14352.2,28,181,0
2021,70110,96,197.2,16199.2,38,176,1
2021,67706,84,291.6,15191.6,40,182,0
2206,73446,144,253.4,16861.0,35,175,0
2206,75798,108,224.0,19274.2,38,260,1
1358,49466,87,328.4,10547.8,26,114,1
1358,42837,54,195.6,9457.6,22,103,0
1606,53920,123,268.2,12767.2,24,107,1
1606,48350,144,140.2,10892.8,20,130,0
1410,38752,96,334.8,9159.2,11,114,0
1410,45673,55,349.4,11118.6,27,109,1
1908,64035,236,377.0,15744.4,38,211,0
1908,60934,65,303.8,13363.0,16,189,1
1820,62568,121,442.2,15047.6,32,163,0
1820,59074,89,262.2,13808.8,20,161,1
1167,31127,66,301.6,7702.8,11,74,0
1167,41877,65,361.4,8626.4,18,89,1
1378,35978,59,393.8,8869.8,10,117,0
1378,49612,64,312.4,11742.8,28,113,1
1109,44531,33,150.0,8753.0,26,58,1
1109,30272,66,213.2,7016.8,14,56,0
1505,51694,230,353.0,11584.2,20,110,1
1505,46224,55,88.2,10094.0,21,106,0
1245,42785,55,323.0,8557.6,12,77,0
1245,47985,109,124.6,10383.6,40,86,1
1749,56302,66,339.4,12925.0,19,173,1
1749,57197,94,465.4,13184.6,28,162,0
1142,40421,38,300.8,8327.2,16,67,1
1142,35387,37,244.8,8491.6,14,76,0
1476,54871,110,254.4,11664.0,23,133,1
1476,47298,104,326.6,10272.2,27,119,0
1875,57203,89,294.4,13184.2,32,180,0
